source,source_name,target,target_name,cluster,coef_mean,coef_abs,p,-logp,network,TF_target,cell_wall_related_gene
AT1G26960,ATHB-23,AT3G18830,PLT5,Elongation_Cortex_BRZ_4_BL,0.008437256,0.008437256,1.6607581562576525e-13,12.779693605989232,Cortex,AT1G26960_AT3G18830,FALSE
AT1G26960,ATHB-23,AT1G04680,AT1G04680,Elongation_Cortex_BRZ_4_BL,0.008437082,0.008437082,5.6883963825922214e-9,8.245010148429035,Cortex,AT1G26960_AT1G04680,FALSE
AT1G33240,AT-GTL1,AT3G30775,POX1,Elongation_Cortex_BRZ,0.008436848,0.008436848,8.360677283125082e-13,12.077758539736857,Cortex,AT1G33240_AT3G30775,FALSE
AT3G01220,ATHB-20,AT1G56330,SAR1B,Elongation_Cortex_BRZ_8_BL,0.008436306,0.008436306,1.0750211790272378e-14,13.96858297961437,Cortex,AT3G01220_AT1G56330,FALSE
AT1G33240,AT-GTL1,AT1G51680,4CL1,Elongation_Cortex_BRZ_4_BL,-0.008435193,0.008435193,2.1620831041708302e-14,13.665127617048213,Cortex,AT1G33240_AT1G51680,FALSE
AT5G15150,HAT7,AT2G42490,AT2G42490,Elongation_Cortex_BRZ_4_BL,0.008434457,0.008434457,1.449116358081169e-9,8.838896741068716,Cortex,AT5G15150_AT2G42490,FALSE
AT1G69780,ATHB-13,AT5G19690,STT3A,Elongation_Cortex_BRZ_8_BL,0.008433054,0.008433054,8.583270867096925e-11,10.066347181984064,Cortex,AT1G69780_AT5G19690,FALSE
AT1G26960,ATHB-23,AT2G21880,RABG2,Elongation_Cortex_BRZ_8_BL,0.008432617,0.008432617,1.480942120947204e-13,12.82946191450002,Cortex,AT1G26960_AT2G21880,FALSE
AT1G26960,ATHB-23,AT5G05270,CHI3,Elongation_Cortex_BRZ_8_BL,0.008431243,0.008431243,2.2001959912418195e-10,9.657538630939793,Cortex,AT1G26960_AT5G05270,FALSE
AT1G69780,ATHB-13,AT5G41790,CIP1,Elongation_Cortex_BRZ,0.008427572,0.008427572,2.9621703882800784e-10,9.52838996385616,Cortex,AT1G69780_AT5G41790,FALSE
AT1G26960,ATHB-23,AT4G00810,RPP1B,Elongation_Cortex_BRZ_8_BL,0.008426372,0.008426372,1.4418969424900846e-8,7.84106577908075,Cortex,AT1G26960_AT4G00810,FALSE
AT1G69780,ATHB-13,AT2G45180,AT2G45180,Elongation_Cortex_BRZ_0_5_BL,0.008425821,0.008425821,2.3135307951207564e-8,7.63572471528576,Cortex,AT1G69780_AT2G45180,FALSE
AT1G26960,ATHB-23,AT2G30860,GSTF9,Elongation_Cortex_BRZ_4_BL,-0.008421205,0.008421205,3.2006049239150763e-15,14.494767930964546,Cortex,AT1G26960_AT2G30860,FALSE
AT1G33240,AT-GTL1,AT5G65390,AGP7,Elongation_Cortex_BRZ,0.008420001,0.008420001,1.2991760161368852e-12,11.886332005464006,Cortex,AT1G33240_AT5G65390,FALSE
AT1G33240,AT-GTL1,AT5G14030,AT5G14030,Elongation_Cortex_BRZ_4_BL,0.00841943,0.00841943,6.304737170189743e-10,9.200333013439112,Cortex,AT1G33240_AT5G14030,FALSE
AT1G33240,AT-GTL1,AT2G45290,TKL-2,Elongation_Cortex_BRZ_2_BL,0.008419272,0.008419272,2.1639552473519717e-9,8.664751725094611,Cortex,AT1G33240_AT2G45290,FALSE
AT5G15150,HAT7,AT3G14940,PPC3,Elongation_Cortex_BRZ_8_BL,-0.008418652,0.008418652,1.8164108629944438e-16,15.740785909477284,Cortex,AT5G15150_AT3G14940,FALSE
AT1G33240,AT-GTL1,AT5G15230,GASA4,Elongation_Cortex_BRZ_4_BL,0.008418298,0.008418298,1.3331455720698837e-16,15.875122425458725,Cortex,AT1G33240_AT5G15230,FALSE
AT1G33240,AT-GTL1,AT1G64650,AT1G64650,Elongation_Cortex_BRZ_2_BL,0.008417997,0.008417997,3.864676527758646e-13,12.412886850539566,Cortex,AT1G33240_AT1G64650,FALSE
AT1G33240,AT-GTL1,AT5G49280,AT5G49280,Elongation_Cortex_BRZ_8_BL,0.008416975,0.008416975,9.317611072941182e-15,14.03069542142597,Cortex,AT1G33240_AT5G49280,FALSE
AT1G69780,ATHB-13,AT4G03190,GRH1,Elongation_Cortex_BRZ_0_5_BL,0.008416196,0.008416196,7.820560609478375e-13,12.106762113835766,Cortex,AT1G69780_AT4G03190,FALSE
AT5G15150,HAT7,AT3G50360,CML20,Elongation_Cortex_BRZ_4_BL,0.0084149605,0.0084149605,4.241117445255719e-12,11.372519700867278,Cortex,AT5G15150_AT3G50360,FALSE
AT1G26960,ATHB-23,AT3G05270,FPP3,Elongation_Cortex_BRZ_0_5_BL,0.008414017,0.008414017,8.075303869168875e-12,11.09284112643088,Cortex,AT1G26960_AT3G05270,FALSE
AT3G01220,ATHB-20,AT1G76790,IGMT5,Elongation_Cortex_BRZ_0_5_BL,-0.008413064,0.008413064,9.63454428473865e-10,9.016168822711066,Cortex,AT3G01220_AT1G76790,FALSE
AT5G15150,HAT7,AT4G21960,PER42,Elongation_Cortex_BRZ_2_BL,0.008412773,0.008412773,2.371054024820883e-15,14.625058550444296,Cortex,AT5G15150_AT4G21960,FALSE
AT1G26960,ATHB-23,AT1G65840,PAO4,Elongation_Cortex_BRZ_4_BL,0.008412675,0.008412675,2.9542699997960936e-8,7.5295498157055025,Cortex,AT1G26960_AT1G65840,FALSE
AT1G26960,ATHB-23,AT2G31710,AT2G31710,Elongation_Cortex_BRZ_4_BL,0.008412554,0.008412554,1.1267500049450917e-11,10.94817243135095,Cortex,AT1G26960_AT2G31710,FALSE
AT1G33240,AT-GTL1,AT5G35200,AT5G35200,Elongation_Cortex_BRZ_1_BL,0.008412381,0.008412381,8.205848299381388e-16,15.085876516049407,Cortex,AT1G33240_AT5G35200,FALSE
AT1G26960,ATHB-23,AT5G03520,RABE1D,Elongation_Cortex_BRZ,0.008410769,0.008410769,8.092112647262793e-12,11.091938080208683,Cortex,AT1G26960_AT5G03520,FALSE
AT1G26960,ATHB-23,AT5G47990,CYP705A5,Elongation_Cortex_BRZ,-0.008407016,0.008407016,1.3904373892712586e-11,10.856848562431754,Cortex,AT1G26960_AT5G47990,FALSE
AT5G15150,HAT7,AT4G33740,AT4G33740,Elongation_Cortex_BRZ_4_BL,-0.008403936,0.008403936,1.0603606366169372e-7,6.974546402796131,Cortex,AT5G15150_AT4G33740,FALSE
AT3G01220,ATHB-20,AT4G21150,RPN2,Elongation_Cortex_BRZ,0.008403801,0.008403801,3.4605935239414544e-10,9.460849409280371,Cortex,AT3G01220_AT4G21150,FALSE
AT1G26960,ATHB-23,AT2G17300,AT2G17300,Elongation_Cortex_BRZ_0_5_BL,0.008401869,0.008401869,1.7726301273574875e-12,11.751381873764675,Cortex,AT1G26960_AT2G17300,FALSE
AT3G01220,ATHB-20,AT1G44575,PSBS,Elongation_Cortex_BRZ_1_BL,0.00840067,0.00840067,3.45165312323502e-14,13.46197285555079,Cortex,AT3G01220_AT1G44575,FALSE
AT1G26960,ATHB-23,AT4G16563,AT4G16563,Elongation_Cortex_BRZ_8_BL,-0.008400375,0.008400375,7.989855368747715e-15,14.097461082153254,Cortex,AT1G26960_AT4G16563,FALSE
AT1G26960,ATHB-23,AT3G14990,DJ1A,Elongation_Cortex_BRZ_4_BL,-0.008400299,0.008400299,4.982385544196973e-10,9.302562669164276,Cortex,AT1G26960_AT3G14990,FALSE
AT1G69780,ATHB-13,AT1G69980,AT1G69980,Elongation_Cortex_BRZ,0.00839887,0.00839887,7.113391885295967e-13,12.147923264838855,Cortex,AT1G69780_AT1G69980,FALSE
AT3G01220,ATHB-20,AT3G10520,AHB2,Elongation_Cortex_BRZ_1_BL,0.008398314,0.008398314,1.7017738282965588e-15,14.769098159674291,Cortex,AT3G01220_AT3G10520,FALSE
AT3G01220,ATHB-20,AT4G34800,AT4G34800,Elongation_Cortex_BRZ,0.008397865,0.008397865,2.485871044209953e-14,13.604521404351107,Cortex,AT3G01220_AT4G34800,FALSE
