regulator,regulator site,interaction,target,target site,Time,Type,Pearson,Spearman,Weight
AT5G56780,,regulates,AT1G30820,,4hr,TF-Abundance,,,0.793051201
AT5G56780,,regulates,AT1G62480,,4hr,TF-Abundance,,,0.808448566
AT5G56780,,regulates,AT1G69572,,4hr,TF-Abundance,,,0.777463389
AT5G56780,,regulates,AT2G37130,,4hr,TF-Abundance,,,0.769792022
AT5G56780,,regulates,AT2G42170,,4hr,TF-Abundance,,,0.918012111
AT5G56780,,regulates,AT3G02260,,4hr,TF-Abundance,,,0.697860193
AT5G56780,,regulates,AT3G05936,,4hr,TF-Abundance,,,0.74367923
AT5G56780,,regulates,AT3G20470,,4hr,TF-Abundance,,,0.894217738
AT5G56780,,regulates,AT3G23450,,4hr,TF-Abundance,,,0.906487703
AT5G56780,,regulates,AT3G26490,,4hr,TF-Abundance,,,0.78055059
AT5G56780,,regulates,AT3G52840,,4hr,TF-Abundance,,,0.746503942
AT5G56780,,regulates,AT3G55470,,4hr,TF-Abundance,,,0.740238332
AT5G56780,,regulates,AT4G18910,,4hr,TF-Abundance,,,0.7488679
AT5G56780,,regulates,AT5G14070,,4hr,TF-Abundance,,,0.686043689
AT5G56780,,regulates,AT5G47550,,4hr,TF-Abundance,,,0.906490459
AT5G56860,,regulates,AT1G64330,,4hr,TF-Abundance,,,0.866087062
AT5G56860,,regulates,AT1G66070,,4hr,TF-Abundance,,,0.77809107
AT5G56860,,regulates,AT2G14660,,4hr,TF-Abundance,,,0.788531011
AT5G56860,,regulates,AT2G41940,,4hr,TF-Abundance,,,0.935932445
AT5G56860,,regulates,AT5G11000,,4hr,TF-Abundance,,,0.719877514
AT5G56860,,regulates,AT5G54250,,4hr,TF-Abundance,,,0.65055299
AT5G60200,,regulates,AT1G04000,,4hr,TF-Abundance,,,0.599418258
AT5G60200,,regulates,AT1G27190,,4hr,TF-Abundance,,,0.643320008
AT5G60200,,regulates,AT1G63100,,4hr,TF-Abundance,,,0.759497027
AT5G60200,,regulates,AT1G75280,,4hr,TF-Abundance,,,0.636833863
AT5G60200,,regulates,AT1G75780,,4hr,TF-Abundance,,,0.604749333
AT5G60200,,regulates,AT2G01910,,4hr,TF-Abundance,,,0.631348839
AT5G60200,,regulates,AT2G04800,,4hr,TF-Abundance,,,0.695640986
AT5G60200,,regulates,AT2G20721,,4hr,TF-Abundance,,,0.679323131
AT5G60200,,regulates,AT2G32450,,4hr,TF-Abundance,,,0.726506013
AT5G60200,,regulates,AT2G45470,,4hr,TF-Abundance,,,0.62092952
AT5G60200,,regulates,AT3G02640,,4hr,TF-Abundance,,,0.622373582
AT5G60200,,regulates,AT3G07540,,4hr,TF-Abundance,,,0.595130199
AT5G60200,,regulates,AT3G26310,,4hr,TF-Abundance,,,0.620193801
AT5G60200,,regulates,AT3G61080,,4hr,TF-Abundance,,,0.645231359
AT5G60200,,regulates,AT3G61990,,4hr,TF-Abundance,,,0.642454775
AT5G60200,,regulates,AT4G04205,,4hr,TF-Abundance,,,0.624435193
AT5G60200,,regulates,AT4G10330,,4hr,TF-Abundance,,,0.676064485
AT5G60200,,regulates,AT4G38690,,4hr,TF-Abundance,,,0.746885866
AT5G60200,,regulates,AT5G00760,,4hr,TF-Abundance,,,0.617427793
AT5G60200,,regulates,AT5G19140,,4hr,TF-Abundance,,,0.608476928
AT5G60200,,regulates,AT5G39660,,4hr,TF-Abundance,,,0.603877198
AT5G61270,,regulates,AT3G04010,,4hr,TF-Abundance,,,0.708156196
AT5G61270,,regulates,AT4G29110,,4hr,TF-Abundance,,,0.617915924
AT5G61270,,regulates,AT5G04530,,4hr,TF-Abundance,,,0.67791702
AT5G61890,,regulates,AT2G42170,,4hr,TF-Abundance,,,0.858595093
AT5G61890,,regulates,AT3G23450,,4hr,TF-Abundance,,,0.901726396
AT5G62940,,regulates,AT1G54140,,4hr,TF-Abundance,,,0.603164671
AT5G62940,,regulates,AT1G59610,,4hr,TF-Abundance,,,0.626843005
AT5G63090,,regulates,AT1G01510,,4hr,TF-Abundance,,,0.668888134
AT5G63090,,regulates,AT1G13170,,4hr,TF-Abundance,,,0.763466552
