"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"4.862126592855651","1.1891053861898353","0.20567132116004297","0.3333333333333333","8","4","2","false","AT5G18550","18.0","2","0","false","0","AT5G18550","143746165"
"0.0","0.0","0.0","0.0","0","3","3","false","IAR4","21.333333333333332","0","0","false","0","AT1G24180","0"
"0.0","0.0","0.0","0.0","0","2","2","false","TIF3I1","31.0","0","0","false","0","AT2G46280","0"
"4.875705034468352","1.3434240429727484","0.20509854327335048","0.08571428571428572","8","15","7","false","AT5G56900","15.4","8","0","false","0","AT5G56900","158541361"
"6.416666666666667","0.0","0.15584415584415584","0.0","10","2","0","false","AT1G58220","5.5","2","0","false","0","AT1G58220","0"
"0.0","0.0","0.0","0.0","0","2","2","false","TPL","33.0","0","0","false","0","AT1G15750","0"
"0.0","0.0","0.0","0.1","0","5","5","false","RPI1","83.8","0","0","false","0","AT1G71100","0"
"0.0","0.0","0.0","0.0","0","3","3","false","AT3G52610","51.0","0","0","false","0","AT3G52610","0"
"3.8836432003342387","5.668420106888478","0.25749018342208596","0.05","7","25","8","false","AGL12","19.523809523809526","17","4","false","0","AT1G71692","657489760"
"0.0","0.0","0.0","0.30357142857142855","0","8","8","false","LRR XI-23","64.0","0","0","false","0","AT1G09970","0"
"0.0","0.0","0.0","0.0","0","2","2","false","AT1G53080","16.5","0","0","false","0","AT1G53080","0"
"0.0","0.0","0.0","0.1","0","6","6","false","PUP18","69.0","0","0","false","0","AT1G57990","0"
"4.735115939001462","0.026715993173809346","0.21118807076366525","0.13333333333333333","8","7","1","false","AT1G76880","13.833333333333334","6","1","false","0","AT1G76880","1884824"
"4.704407771046585","1.731438524807386","0.21256660746003553","0.07894736842105263","8","21","14","false","RAP2.7","29.63157894736842","7","2","false","0","AT2G28550","200200157"
"5.939837058700648","0.19988782336743174","0.16835478652317648","0.054945054945054944","9","14","7","false","WLIN2A","13.571428571428571","7","0","false","0","AT2G39900","16291779"
"4.462293712137038","0.701147327660805","0.22409999531857122","0.0024630541871921183","8","30","2","false","SOC1","5.448275862068965","28","1","false","0","AT2G45660","59999156"
"3.2070190098182576","9.905404083641228","0.3118160500260553","0.036231884057971016","6","56","13","false","GATA15","28.934782608695652","43","10","false","0","AT3G06740","1087976696"
"0.0","0.0","0.0","0.0","0","1","1","false","AT4G15420","21.0","0","0","false","0","AT4G15420","0"
"0.0","0.0","0.0","0.16666666666666666","0","4","4","false","GRXC5","17.0","0","0","false","0","AT4G28730","0"
