GeneID,dataset
AT1G12244,GTL1_targets
AT1G12370,GTL1_targets
AT1G12390,GTL1_targets
AT1G12420,GTL1_targets
AT1G12430,GTL1_targets
AT1G12450,GTL1_targets
AT1G12500,GTL1_targets
AT1G12540,GTL1_targets
AT1G12550,GTL1_targets
AT1G12560,GTL1_targets
AT1G12580,GTL1_targets
AT1G12590,GTL1_targets
AT1G12630,GTL1_targets
AT1G12650,GTL1_targets
AT1G12700,GTL1_targets
AT1G12740,GTL1_targets
AT1G12760,GTL1_targets
AT1G12775,GTL1_targets
AT1G12950,GTL1_targets
AT1G12990,GTL1_targets
AT1G13010,GTL1_targets
AT1G13080,GTL1_targets
AT1G13110,GTL1_targets
AT1G13220,GTL1_targets
AT1G13240,GTL1_targets
AT1G13245,GTL1_targets
AT1G13250,GTL1_targets
AT1G13260,GTL1_targets
AT1G13300,GTL1_targets
AT1G13310,GTL1_targets
AT1G13350,GTL1_targets
AT1G13370,GTL1_targets
AT1G13448,GTL1_targets
AT1G13460,GTL1_targets
AT1G13590,GTL1_targets
AT1G13605,GTL1_targets
AT1G13608,GTL1_targets
AT1G13640,GTL1_targets
AT1G13700,GTL1_targets
AT1G13740,GTL1_targets
AT1G13770,GTL1_targets
AT1G13880,GTL1_targets
AT1G13940,GTL1_targets
AT1G13950,GTL1_targets
AT1G13960,GTL1_targets
AT1G13970,GTL1_targets
AT1G13980,GTL1_targets
AT1G14000,GTL1_targets
AT1G14040,GTL1_targets
AT1G14070,GTL1_targets
AT1G14150,GTL1_targets
AT1G14180,GTL1_targets
AT1G14205,GTL1_targets
AT1G14230,GTL1_targets
AT1G14280,GTL1_targets
AT1G14330,GTL1_targets
AT1G14340,GTL1_targets
AT1G14370,GTL1_targets
AT1G14400,GTL1_targets
AT1G14470,GTL1_targets
AT1G14518,GTL1_targets
AT1G14550,GTL1_targets
AT1G14590,GTL1_targets
AT1G14610,GTL1_targets
AT1G14630,GTL1_targets
AT1G14640,GTL1_targets
AT1G14687,GTL1_targets
AT1G14700,GTL1_targets
AT1G14710,GTL1_targets
AT1G14730,GTL1_targets
AT1G14780,GTL1_targets
AT1G14840,GTL1_targets
AT1G14860,GTL1_targets
AT1G14870,GTL1_targets
AT1G14920,GTL1_targets
AT1G15030,GTL1_targets
AT1G15040,GTL1_targets
AT1G15080,GTL1_targets
AT1G15090,GTL1_targets
AT1G15110,GTL1_targets
AT1G15170,GTL1_targets
AT1G15215,GTL1_targets
AT1G15320,GTL1_targets
