geno,treatment,day,cell_type,image,position,cumm_len,cell_len,date,notes
WT,control,7,cortex_meristem,WT_control-3.czi,59,1215.57,182.884,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,60,1354.103,138.533,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,61,1490.811,136.708,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,62,1761.887,271.076,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,63,1958.006,196.119,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,64,2156.551,198.545,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,65,2323.804,167.253,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,66,2472.022,148.218,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,67,2757.463,285.441,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,1,10.633,10.633,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,2,19.191,8.558,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,3,26.062,6.871,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,4,35.428,9.366,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,5,45.12,9.692,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,6,56.699,11.579,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,7,65.166,8.467,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,8,75.839,10.673,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,9,84.234,8.395,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,10,92.547,8.313,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,11,97.598,5.051,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,12,102.239,4.641,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,13,108.183,5.944,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,14,112.768,4.585,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,15,119.05,6.282,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,16,123.284,4.234,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,17,127.925,4.641,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,18,136.269,8.344,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,19,145.076,8.807,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,20,151.718,6.642,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,21,159.874,8.156,20220211,
WT,control,7,cortex_meristem,WT_control-5.czi,22,166.943,7.069,20220211,
